site,latitude,longitude,elevation,dipole_length_ex,dipole_length_ey,azimuth_ex,azimuth_ey,remote,timing,notes,site_name,rx_number,bx_coil,by_coil,ex_n_m,ex_s_m,ey_e_m,ey_w_m,deployed_local,pickup_local,battery_v,r_ns_kohm,r_ew_kohm,v_ns_mv,v_ew_mv,sheet_lat,sheet_lon,sheet_to_header_m,source_photo,legibility,verified
A01,31.540402,-9.686461,125.2,,,0,90,,,"Notes: Electric swopped in the box. | Map: houses E and W; road and power line S; walled enclosure | SD 79 | coils Bx 119 By 121 | arms as written (50/50/5/4, confirmed on both photos) give Ex 100 m and Ey 9 m, which cannot be right; the mud map draws N and E short, S and W long, so survey.yaml 55/54 (cells swapped) is a plausible repair; lengths left empty | date day overwritten (11 or 12); logger started 11 July",Essaouira,Lemi 423 No: 014,119,121,50,50,5,4,2023-07-1?,2023-07-13 07:53,12.88,15.7,6.2,21.4,23.6,31.540442,-9.686416,6,IMG_0820_2.jpg upper; IMG_2037_2.jpg upper,0.85,"ex_n_m ex_s_m ey_e_m ey_w_m confirmed on both photos (FN001); deployed_local day corrected: overwritten, 11 or 12 (FN001, FN043)"
A02,31.455528,-9.776493,27.1,,48,0,90,,,"Map: nothing drawn | SD 22 | coils Bx 112 By 114 | Ex/S is a blue 50 with a darker 4 over the 5 (a later correction to 40), so Ex is probably 42 m, as in survey.yaml; 52 m less likely; Ex left empty | date day overwritten (11 or 12); logger started 11 July",Essaouira. Ghzaoua,Lemi 423 N° 011,112,114,2,40/50,46,2,2023-07-1?,2023-07-13 08:50,12.79,12.3,15.9,8.2,36.5,31.455565,-9.776560,8,IMG_0820_2.jpg lower; IMG_2037_2.jpg lower,0.85,"ex_s_m confirmed: blue 50 with a darker 4 written over the 5, so 40 is the later value (FN002); deployed_local day corrected: 1 and 2 overwritten, 11 or 12 (FN002, FN044)"
A03,31.412221,-9.694349,95.8,54,53,0,90,,,Map: owner house SW; road + electric cable (100m) S | SD 71 | coils Bx 240 By 242,A3 Ait Chouer,Lemi 423 No: 13,240,242,4,50,50,3,2023-07-13 14:30,2023-07-15 11:10,12.7,2.38,4.5,7.6,6.2,31.412172,-9.694386,6,IMG_1391_2.jpg lower,0.75,
A04,31.368264,-9.722686,114.0,53,52,0,90,,,"Notes: Electric swopped in the box. | Map: power line N; road W | SD 59 | coils Bx 117 By 118 | sheet longitude 9,79267509 is 6.6 km off; with 2 for the second decimal it matches the header",A4 (Bontazonte),Lemi423 N°12,117,118,50,3,2,50,2023-07-12,2023-07-14 08:55,12.66,5.8,2.3,,13.2,31.368237,-9.792675,6645,IMG_1068_2.jpg upper,0.70,"sheet_lon confirmed: 9,79267509 is what is written, a slip on the sheet (FN003)"
A05,30.917771,-9.586553,824.4,55,56,0,90,,,"Map: owner house (200m) E; power line (200m) SW | SD 16 | coils Bx 112 By 114 | WARNING: the survey.yaml A05 header and files are those of A14; the A5 sheet puts the site at the sheet position with logger 11, whose recording is not in the archive | date written 13 July and overwritten to 14, with '14/07/2013' added above: probably 14 July",A5 Sidi hmad ou hmad,Lemi 423 No: 11,112,114,50,5,5,51,2023-07-1? 11:35,????-??-?? 10:30,12.6,2.5,1.7,23,42.4,31.340706,-9.713373,48553,IMG_1391_2.jpg upper,0.75,"site identity, sheet_lat, sheet_lon, rx_number, bx_coil, by_coil confirmed; deployed_local day 13 overwritten to 14 (FN004)"
A06,31.288688,-9.719865,125.2,54,54,0,90,,,Map: power line + road ~300m N; valley E; Carriere (quarry) S | SD 55 or 65 | coils Bx 240 By 242,Tidzi Sud,Lemi 423 N°13,240,242,50,4,50,4,2023-07-11 15:44,2023-07-13 12:34,12.88,2,2,17.5,9.4,31.286893,-9.719882,200,IMG_1171_2.jpg upper; IMG_1730_2.jpg upper,0.75,
A07,31.25474,-9.722028,212.5,52,52,0,90,,,Map: Route national N and W (400m); house W | SD 26 | coils Bx 125 By 126,Sidi-Bouskri A7,423 N°0-4,125,126,2,50,50,2,2023-07-12,2023-07-14 09:42,12.79,2.5,1.56,8.8,2.7,31.254701,-9.722106,9,IMG_1068_2.jpg lower,0.65,
A08,31.200901,-9.698134,291.5,45,52,0,90,,,Notes: Electric cable swoped in the box | Map: power line ~100m N; houses (50m) E; valley S | SD 25 | coils Bx 134 By 136,Smimou,Lemi 423 N°07,134,136,4,41,5,47,2023-07-12 13:00,,12.76,2.5,2.05,7.4,8.7,31.200905,-9.698156,2,IMG_1171_2.jpg lower; IMG_1730_2.jpg lower,0.85,
A09,31.167268,-9.657706,880.7,48.5,45,0,90,,,Notes: Electric swopped in the box. | Map: power line SW | SD 51 | coils Bx 137 By 138 | sheet coordinates are copied from A8,Amsitten. A9,Lemi 423 N°33,137,138,44,4.5,4,41,2023-07-12 15:45,,12.82,1.96,3.15,25,13.9,31.200905,-9.698156,5366,IMG_1071_2.jpg upper,0.85,"sheet_lat, sheet_lon confirmed: digit for digit the A8 position (FN005)"
A10,31.11257,-9.638101,382.8,54,54,0,90,,,Map: houses ~200 W; houses ~100m E; dam S | SD 39 | coils Bx 127 By 128,Tajabrite (N du Barrage d'Igouzoulne),Lemi 423 N°14,127,128,50,4,50,4,2023-07-13 12:20,2023-07-15 13:09,12.73,4.7,4.8,22.3,12.9,31.112577,-9.638103,1,IMG_1378_2.jpg upper,0.75,
A11,31.068498,-9.575394,504.8,43,54,0,90,,,Notes: Electric Cables swopped in the box. | Map: nothing drawn | SD 10 | coils Bx 119 By 121,Ait el Ain-A11,Lemi423 N°9,119,121,5,38,50,4,2023-07-13 15:30,2023-07-15 11:37,12.74,2.18,2.7,1.3,6.6,31.068461,-9.575408,4,IMG_1378_2.jpg lower,0.65,
A12,31.009696,-9.575538,777.5,53,,0,90,,,"Map: road (piste) ~100m NW; road (piste) S | SD 76 | coils Bx 125 By 126 | Ex/N re-read as 50 (not 60), so Ex = 50 + 3 = 53 m as in survey.yaml; Ey/W has a 3 and a 4 overlaid (Ey 53 or 54, within 2%); Ey left empty | longitude 5th decimal overwritten (-9.5763?5)",Ait MellaK_A12,Lemi 423 N°4,125,126,50,3,50,3 or 4,2023-07-14 12:10,2023-07-16 13:00,12.76,4.5,3.76,2.1,11.8,31.009934,-9.576395,86,IMG_1508_2.jpg upper,0.70,"ex_n_m corrected 60 -> 50 (the first digit is this writer's 5); ey_w_m confirmed ambiguous, a 3 and a 4 overlaid; ex_s_m 3 with an extra stroke (FN006); sheet_lon checked: -9.5763?5 stands"
A13,30.968943,-9.570451,990.8,53,53,0,90,,,Map: route W; solar panel NE; water network (Reseau eau) SE | SD 46 | coils Bx 134 By 136,Ida ou kazzou AA3 (WHA),Lemi 423 N007,134,136,3,50,50,3,2023-07-14,2023-07-16 10:03,12.89,4.2,5.4,1.7,8.2,30.968954,-9.570477,3,IMG_0266_2.jpg upper; IMG_0951_2.jpg lower,0.85,
A14,30.917771,-9.586553,824.4,54,53,0,90,,,Map: Reseau NE; houses + power line SE; road (piste) S | SD 38 | coils Bx 117 By 118,Sidi Mhend ou bouzid,Lemi 423 N°12,117,118,50,4,49,4,2023-07-14 16:25,2023-07-16 13:55,12.84,3.72,3.84,28.3,13.8,30.917829,-9.586551,6,IMG_1508_2.jpg lower,0.75,
A15,30.887369,-9.605093,643.2,54,51,0,90,,,Map: power line NW/W; Home Town SW | SD 21 | coils Bx 137 By 138, (WHA),LEmi 423 N.?33,137,138,50,4,1,50,2023-07-14 14:20,2023-07-16 09:??,,2.8,2.3,6.2,8.4,30.887404,-9.605124,5,IMG_0951_2.jpg upper; IMG_0266_2.jpg lower,0.75,
A16,30.833687,-9.602112,459.2,54,48,0,90,,,Notes: The station deployed in middle of a village. | Map: power line; owner house SW | SD 25 | coils Bx 241 By 243,AM_A16 (Aougane),Lemi N° 6,241,243,50,4,47,1,2023-03-02 17:12,,12.77,1.5,1,13.1,37.1,30.833570,-9.602080,13,pdf p1 full,0.85,
A17,30.771295,-9.565879,562.0,48.5,54.2,0,90,,,Notes: Power lines on two sides. Electric cables swopped in the box. | Map: power line (high V) NW | SD 65 | coils Bx 129 By 131,AM_A17 (Aziar),Lemi N°3,129,131,44,4.5,4.2,50,2023-03-02 14:47,,12.97,1.7,2.4,3.4,2.5,30.771320,-9.565840,5,pdf p2 full,0.90,
